row,sentence,tagged_tokens_GT,tagged_tokens_GT_corrected
81,"In one breath : Aptana Studio ! Yes , it's Java based and free ( Eclipse , as standalone or plugin ) . You can also customize the formatting .","[('In', 'P'), ('one', '$'), ('breath', 'N'), (':', ','), ('Aptana', '^'), ('Studio', '^'), ('!', ','), ('Yes', '!'), (',', ','), (""it's"", 'L'), ('Java', '^'), ('based', 'V'), ('and', '&'), ('free', 'A'), ('(', ','), ('Eclipse', '^'), (',', ','), ('as', 'P'), ('standalone', 'N'), ('or', '&'), ('plugin', 'N'), (')', ','), ('.', ','), ('You', 'O'), ('can', 'V'), ('also', 'R'), ('customize', 'P'), ('the', 'D'), ('formatting', 'N'), ('.', ',')]","[('In', 'P'), ('one', '$'), ('breath', 'N'), (':', ','), ('Aptana', '^'), ('Studio', '^'), ('!', ','), ('Yes', '!'), (',', ','), (""it's"", 'L'), ('Java', '^'), ('based', 'V'), ('and', '&'), ('free', 'A'), ('(', ','), ('Eclipse', '^'), (',', ','), ('as', 'P'), ('standalone', 'N'), ('or', '&'), ('plugin', 'N'), (')', ','), ('.', ','), ('You', 'O'), ('can', 'V'), ('also', 'R'), ('customize', 'P'), ('the', 'D'), ('formatting', 'N'), ('.', ',')]"
82,"If you already use Eclipse , I recommend you to try Aptana , you can install it as an Eclipse Plugin .","[('If', 'P'), ('you', 'O'), ('already', 'R'), ('use', 'V'), ('Eclipse', '^'), (',', ','), ('I', 'O'), ('recommend', 'V'), ('you', 'O'), ('to', 'P'), ('try', 'V'), ('Aptana', '^'), (',', ','), ('you', 'O'), ('can', 'V'), ('install', 'V'), ('it', 'O'), ('as', 'P'), ('an', 'D'), ('Eclipse', '^'), ('Plugin', 'N'), ('.', ',')]","[('If', 'P'), ('you', 'O'), ('already', 'R'), ('use', 'V'), ('Eclipse', '^'), (',', ','), ('I', 'O'), ('recommend', 'V'), ('you', 'O'), ('to', 'P'), ('try', 'V'), ('Aptana', '^'), (',', ','), ('you', 'O'), ('can', 'V'), ('install', 'V'), ('it', 'O'), ('as', 'P'), ('an', 'D'), ('Eclipse', '^'), ('Plugin', 'N'), ('.', ',')]"
83,If you also need Java programming i can recommend ' IntelliJ IDEA ' It offers excellent JavaScript formatting and refactoring out of the box .,"[('If', 'P'), ('you', 'O'), ('also', 'R'), ('need', 'V'), ('Java', '^'), ('programming', 'V'), ('i', 'O'), ('can', 'V'), ('recommend', 'V'), (""'"", ','), ('IntelliJ', '^'), ('IDEA', '^'), (""'"", ','), ('It', 'O'), ('offers', 'V'), ('excellent', 'A'), ('JavaScript', '^'), ('formatting', 'N'), ('and', '&'), ('refactoring', 'N'), ('out', 'T'), ('of', 'P'), ('the', 'D'), ('box', 'N'), ('.', ',')]","[('If', 'P'), ('you', 'O'), ('also', 'R'), ('need', 'V'), ('Java', '^'), ('programming', 'V'), ('i', 'O'), ('can', 'V'), ('recommend', 'V'), (""'"", ','), ('IntelliJ', '^'), ('IDEA', '^'), (""'"", ','), ('It', 'O'), ('offers', 'V'), ('excellent', 'A'), ('JavaScript', '^'), ('formatting', 'N'), ('and', '&'), ('refactoring', 'N'), ('out', 'T'), ('of', 'P'), ('the', 'D'), ('box', 'N'), ('.', ',')]"
84,"This is by far the best I've come across : http://jsbeautifier.org Its an online tool , but source is available .","[('This', 'D'), ('is', 'V'), ('by', 'P'), ('far', 'R'), ('the', 'D'), ('best', 'A'), (""I've"", 'L'), ('come', 'V'), ('across', 'P'), (':', ','), ('http://jsbeautifier.org', 'U'), ('Its', 'L'), ('an', 'D'), ('online', 'A'), ('tool', 'N'), (',', ','), ('but', '&'), ('source', 'N'), ('is', 'V'), ('available', 'A'), ('.', ',')]","[('This', 'D'), ('is', 'V'), ('by', 'P'), ('far', 'R'), ('the', 'D'), ('best', 'A'), (""I've"", 'L'), ('come', 'V'), ('across', 'P'), (':', ','), ('http://jsbeautifier.org', 'U'), ('Its', 'L'), ('an', 'D'), ('online', 'A'), ('tool', 'N'), (',', ','), ('but', '&'), ('source', 'N'), ('is', 'V'), ('available', 'A'), ('.', ',')]"
85,Have you tried jsfiddler . It's great for trying things out with Javascript . Built in JSLint something called Tidy . Not sure whether that infers jstidy Piotr Zalewa is the guy who wrote it . May be worth giving him a Tweet @zalun to confirm .,"[('Have', 'V'), ('you', 'O'), ('tried', 'V'), ('jsfiddler', '^'), ('.', ','), (""It's"", 'L'), ('great', 'A'), ('for', 'P'), ('trying', 'V'), ('things', 'N'), ('out', 'P'), ('with', 'P'), ('Javascript', '^'), ('.', ','), ('Built', 'V'), ('in', 'P'), ('JSLint', '^'), ('something', 'N'), ('called', 'V'), ('Tidy', '^'), ('.', ','), ('Not', 'R'), ('sure', 'A'), ('whether', 'P'), ('that', 'D'), ('infers', 'V'), ('jstidy', '^'), ('Piotr', '^'), ('Zalewa', '^'), ('is', 'V'), ('the', 'D'), ('guy', 'N'), ('who', 'O'), ('wrote', 'V'), ('it', 'O'), ('.', ','), ('May', '^'), ('be', 'V'), ('worth', 'V'), ('giving', 'V'), ('him', 'O'), ('a', 'D'), ('Tweet', 'N'), ('@zalun', '@'), ('to', 'P'), ('confirm', 'V'), ('.', ',')]","[('Have', 'V'), ('you', 'O'), ('tried', 'V'), ('jsfiddler', '^'), ('.', ','), (""It's"", 'L'), ('great', 'A'), ('for', 'P'), ('trying', 'V'), ('things', 'N'), ('out', 'P'), ('with', 'P'), ('Javascript', '^'), ('.', ','), ('Built', 'V'), ('in', 'P'), ('JSLint', '^'), ('something', 'N'), ('called', 'V'), ('Tidy', '^'), ('.', ','), ('Not', 'R'), ('sure', 'A'), ('whether', 'P'), ('that', 'D'), ('infers', 'V'), ('jstidy', '^'), ('Piotr', '^'), ('Zalewa', '^'), ('is', 'V'), ('the', 'D'), ('guy', 'N'), ('who', 'O'), ('wrote', 'V'), ('it', 'O'), ('.', ','), ('May', '^'), ('be', 'V'), ('worth', 'V'), ('giving', 'V'), ('him', 'O'), ('a', 'D'), ('Tweet', 'N'), ('@zalun', '@'), ('to', 'P'), ('confirm', 'V'), ('.', ',')]"
86,"If you need source code , you might check out the code I present in the article A JavaScript Formatter .","[('If', 'P'), ('you', 'O'), ('need', 'V'), ('source', 'N'), ('code', 'N'), (',', ','), ('you', 'O'), ('might', 'V'), ('check', 'V'), ('out', 'T'), ('the', 'D'), ('code', 'N'), ('I', 'O'), ('present', 'A'), ('in', 'P'), ('the', 'D'), ('article', 'N'), ('A', 'D'), ('JavaScript', '^'), ('Formatter', '^'), ('.', ',')]","[('If', 'P'), ('you', 'O'), ('need', 'V'), ('source', 'N'), ('code', 'N'), (',', ','), ('you', 'O'), ('might', 'V'), ('check', 'V'), ('out', 'T'), ('the', 'D'), ('code', 'N'), ('I', 'O'), ('present', 'A'), ('in', 'P'), ('the', 'D'), ('article', 'N'), ('A', 'D'), ('JavaScript', '^'), ('Formatter', '^'), ('.', ',')]"
87,"If you are using notepad++ , you can try jsminnpp plugin","[('If', 'P'), ('you', 'O'), ('are', 'V'), ('using', 'V'), ('notepad++', '^'), (',', ','), ('you', 'O'), ('can', 'V'), ('try', 'V'), ('jsminnpp', '^'), ('plugin', 'N')]","[('If', 'P'), ('you', 'O'), ('are', 'V'), ('using', 'V'), ('notepad++', '^'), (',', ','), ('you', 'O'), ('can', 'V'), ('try', 'V'), ('jsminnpp', '^'), ('plugin', 'N')]"
88,"For Eclipse IDE you can use JavaScript Code Formatter based on Goolge's Style Guide For IntelliJ IDEA you can use the same js code formatter xml file , but previously you have to install a special plugin Eclipse Code Formatter Plugin , which solves the problem of maintaining a common code style in team environments where both IDEA and Eclipse are used","[('For', 'P'), ('Eclipse', '^'), ('IDE', '^'), ('you', 'O'), ('can', 'V'), ('use', 'V'), ('JavaScript', '^'), ('Code', 'N'), ('Formatter', 'N'), ('based', 'V'), ('on', 'P'), (""Goolge's"", '^'), ('Style', 'N'), ('Guide', 'N'), ('For', 'P'), ('IntelliJ', '^'), ('IDEA', '^'), ('you', 'O'), ('can', 'V'), ('use', 'V'), ('the', 'D'), ('same', 'A'), ('js', '^'), ('code', 'N'), ('formatter', 'N'), ('xml', '^'), ('file', 'N'), (',', ','), ('but', '&'), ('previously', 'R'), ('you', 'O'), ('have', 'V'), ('to', 'P'), ('install', 'V'), ('a', 'D'), ('special', 'N'), ('plugin', 'V'), ('Eclipse', '^'), ('Code', '^'), ('Formatter', '^'), ('Plugin', '^'), (',', ','), ('which', 'O'), ('solves', 'V'), ('the', 'D'), ('problem', 'N'), ('of', 'P'), ('maintaining', 'V'), ('a', 'D'), ('common', 'N'), ('code', 'N'), ('style', 'N'), ('in', 'P'), ('team', 'N'), ('environments', 'N'), ('where', 'R'), ('both', 'D'), ('IDEA', '^'), ('and', '&'), ('Eclipse', '^'), ('are', 'V'), ('used', 'V')]","[('For', 'P'), ('Eclipse', '^'), ('IDE', '^'), ('you', 'O'), ('can', 'V'), ('use', 'V'), ('JavaScript', '^'), ('Code', 'N'), ('Formatter', 'N'), ('based', 'V'), ('on', 'P'), (""Goolge's"", '^'), ('Style', 'N'), ('Guide', 'N'), ('For', 'P'), ('IntelliJ', '^'), ('IDEA', '^'), ('you', 'O'), ('can', 'V'), ('use', 'V'), ('the', 'D'), ('same', 'A'), ('js', '^'), ('code', 'N'), ('formatter', 'N'), ('xml', '^'), ('file', 'N'), (',', ','), ('but', '&'), ('previously', 'R'), ('you', 'O'), ('have', 'V'), ('to', 'P'), ('install', 'V'), ('a', 'D'), ('special', 'N'), ('plugin', 'V'), ('Eclipse', '^'), ('Code', '^'), ('Formatter', '^'), ('Plugin', '^'), (',', ','), ('which', 'O'), ('solves', 'V'), ('the', 'D'), ('problem', 'N'), ('of', 'P'), ('maintaining', 'V'), ('a', 'D'), ('common', 'N'), ('code', 'N'), ('style', 'N'), ('in', 'P'), ('team', 'N'), ('environments', 'N'), ('where', 'R'), ('both', 'D'), ('IDEA', '^'), ('and', '&'), ('Eclipse', '^'), ('are', 'V'), ('used', 'V')]"
89,Java method never called while using JSON RPC in Struts2,"[('Java', '^'), ('method', 'N'), ('never', 'R'), ('called', 'V'), ('while', 'P'), ('using', 'V'), ('JSON', '^'), ('RPC', '^'), ('in', 'P'), ('Struts2', '^')]","[('Java', '^'), ('method', 'N'), ('never', 'R'), ('called', 'V'), ('while', 'P'), ('using', 'V'), ('JSON', '^'), ('RPC', '^'), ('in', 'P'), ('Struts2', '^')]"
90,"I'm trying to get some code working that a previous developer has written . Yep , he now left the company . :-( I have a JSON RPC call being made from the JS code . The JS all runs fine and the callback method gets an object back ( not an error object ) . But the method on the Java class never gets hit . The smd method does get hit though . I'm stumped as to why , or what I'm missing . I've read JSON plugin page over and over . I think I just need another set of eyes . Note : no errors in the Tomcat console , no JS errors . Anyone got any clues ? Cheers Jeff Porter","[(""I'm"", 'L'), ('trying', 'V'), ('to', 'P'), ('get', 'V'), ('some', 'D'), ('code', 'N'), ('working', 'V'), ('that', 'P'), ('a', 'D'), ('previous', 'A'), ('developer', 'N'), ('has', 'V'), ('written', 'V'), ('.', ','), ('Yep', '!'), (',', ','), ('he', 'O'), ('now', 'R'), ('left', 'V'), ('the', 'D'), ('company', 'N'), ('.', ','), (':-(', 'E'), ('I', 'O'), ('have', 'V'), ('a', 'D'), ('JSON', '^'), ('RPC', '^'), ('call', 'V'), ('being', 'V'), ('made', 'V'), ('from', 'P'), ('the', 'D'), ('JS', '^'), ('code', 'N'), ('.', ','), ('The', 'D'), ('JS', '^'), ('all', 'X'), ('runs', 'V'), ('fine', 'A'), ('and', '&'), ('the', 'D'), ('callback', 'N'), ('method', 'N'), ('gets', 'V'), ('an', 'D'), ('object', 'N'), ('back', 'N'), ('(', ','), ('not', 'R'), ('an', 'D'), ('error', 'N'), ('object', 'N'), (')', ','), ('.', ','), ('But', '&'), ('the', 'D'), ('method', 'N'), ('on', 'P'), ('the', 'D'), ('Java', '^'), ('class', 'N'), ('never', 'R'), ('gets', 'V'), ('hit', 'V'), ('.', ','), ('The', 'D'), ('smd', '^'), ('method', 'N'), ('does', 'V'), ('get', 'V'), ('hit', 'V'), ('though', 'P'), ('.', ','), (""I'm"", 'L'), ('stumped', 'V'), ('as', 'R'), ('to', 'P'), ('why', 'R'), (',', ','), ('or', '&'), ('what', 'D'), (""I'm"", 'L'), ('missing', 'V'), ('.', ','), (""I've"", 'L'), ('read', 'V'), ('JSON', '^'), ('plugin', 'V'), ('page', 'N'), ('over', 'N'), ('and', '&'), ('over', 'R'), ('.', ','), ('I', 'O'), ('think', 'V'), ('I', 'O'), ('just', 'R'), ('need', 'V'), ('another', 'D'), ('set', 'V'), ('of', 'P'), ('eyes', 'N'), ('.', ','), ('Note', 'N'), (':', ','), ('no', 'D'), ('errors', 'N'), ('in', 'P'), ('the', 'D'), ('Tomcat', '^'), ('console', 'N'), (',', ','), ('no', 'D'), ('JS', '^'), ('errors', 'N'), ('.', ','), ('Anyone', 'N'), ('got', 'V'), ('any', 'D'), ('clues', 'N'), ('?', ','), ('Cheers', '^'), ('Jeff', '^'), ('Porter', '^')]","[(""I'm"", 'L'), ('trying', 'V'), ('to', 'P'), ('get', 'V'), ('some', 'D'), ('code', 'N'), ('working', 'V'), ('that', 'P'), ('a', 'D'), ('previous', 'A'), ('developer', 'N'), ('has', 'V'), ('written', 'V'), ('.', ','), ('Yep', '!'), (',', ','), ('he', 'O'), ('now', 'R'), ('left', 'V'), ('the', 'D'), ('company', 'N'), ('.', ','), (':-(', 'E'), ('I', 'O'), ('have', 'V'), ('a', 'D'), ('JSON', '^'), ('RPC', '^'), ('call', 'V'), ('being', 'V'), ('made', 'V'), ('from', 'P'), ('the', 'D'), ('JS', '^'), ('code', 'N'), ('.', ','), ('The', 'D'), ('JS', '^'), ('all', 'X'), ('runs', 'V'), ('fine', 'A'), ('and', '&'), ('the', 'D'), ('callback', 'N'), ('method', 'N'), ('gets', 'V'), ('an', 'D'), ('object', 'N'), ('back', 'N'), ('(', ','), ('not', 'R'), ('an', 'D'), ('error', 'N'), ('object', 'N'), (')', ','), ('.', ','), ('But', '&'), ('the', 'D'), ('method', 'N'), ('on', 'P'), ('the', 'D'), ('Java', '^'), ('class', 'N'), ('never', 'R'), ('gets', 'V'), ('hit', 'V'), ('.', ','), ('The', 'D'), ('smd', '^'), ('method', 'N'), ('does', 'V'), ('get', 'V'), ('hit', 'V'), ('though', 'P'), ('.', ','), (""I'm"", 'L'), ('stumped', 'V'), ('as', 'R'), ('to', 'P'), ('why', 'R'), (',', ','), ('or', '&'), ('what', 'D'), (""I'm"", 'L'), ('missing', 'V'), ('.', ','), (""I've"", 'L'), ('read', 'V'), ('JSON', '^'), ('plugin', 'V'), ('page', 'N'), ('over', 'N'), ('and', '&'), ('over', 'R'), ('.', ','), ('I', 'O'), ('think', 'V'), ('I', 'O'), ('just', 'R'), ('need', 'V'), ('another', 'D'), ('set', 'V'), ('of', 'P'), ('eyes', 'N'), ('.', ','), ('Note', 'N'), (':', ','), ('no', 'D'), ('errors', 'N'), ('in', 'P'), ('the', 'D'), ('Tomcat', '^'), ('console', 'N'), (',', ','), ('no', 'D'), ('JS', '^'), ('errors', 'N'), ('.', ','), ('Anyone', 'N'), ('got', 'V'), ('any', 'D'), ('clues', 'N'), ('?', ','), ('Cheers', '^'), ('Jeff', '^'), ('Porter', '^')]"
91,I'm guessing that you need to update the smd() method to actually call updateRowValueForField() rather than simply return immediately . Looks like the previous developer never actually hooked up the methods .,"[(""I'm"", 'L'), ('guessing', 'V'), ('that', 'P'), ('you', 'O'), ('need', 'V'), ('to', 'P'), ('update', 'V'), ('the', 'D'), ('smd()', '^'), ('method', 'N'), ('to', 'P'), ('actually', 'R'), ('call', 'V'), ('updateRowValueForField()', '^'), ('rather', 'R'), ('than', 'P'), ('simply', 'R'), ('return', 'V'), ('immediately', 'R'), ('.', ','), ('Looks', 'V'), ('like', 'P'), ('the', 'D'), ('previous', 'A'), ('developer', 'N'), ('never', 'R'), ('actually', 'R'), ('hooked', 'V'), ('up', 'T'), ('the', 'D'), ('methods', 'N'), ('.', ',')]","[(""I'm"", 'L'), ('guessing', 'V'), ('that', 'P'), ('you', 'O'), ('need', 'V'), ('to', 'P'), ('update', 'V'), ('the', 'D'), ('smd()', '^'), ('method', 'N'), ('to', 'P'), ('actually', 'R'), ('call', 'V'), ('updateRowValueForField()', '^'), ('rather', 'R'), ('than', 'P'), ('simply', 'R'), ('return', 'V'), ('immediately', 'R'), ('.', ','), ('Looks', 'V'), ('like', 'P'), ('the', 'D'), ('previous', 'A'), ('developer', 'N'), ('never', 'R'), ('actually', 'R'), ('hooked', 'V'), ('up', 'T'), ('the', 'D'), ('methods', 'N'), ('.', ',')]"
92,"You forgot to include the javascript code . From the example : Are you sure you call service.updateRowValueForField ( key , value , fieldname ) and not something different ? Further , your method returns a void ( e.g. doesn't return anything ) . What did you expect to get ?","[('You', 'O'), ('forgot', 'V'), ('to', 'P'), ('include', 'V'), ('the', 'D'), ('javascript', 'N'), ('code', 'N'), ('.', ','), ('From', 'P'), ('the', 'D'), ('example', 'N'), (':', ','), ('Are', 'V'), ('you', 'O'), ('sure', 'R'), ('you', 'O'), ('call', 'V'), ('service.updateRowValueForField', '^'), ('(', ','), ('key', 'A'), (',', ','), ('value', 'N'), (',', ','), ('fieldname', 'N'), (')', ','), ('and', '&'), ('not', 'R'), ('something', 'R'), ('different', 'A'), ('?', ','), ('Further', 'R'), (',', ','), ('your', 'D'), ('method', 'N'), ('returns', 'V'), ('a', 'D'), ('void', '^'), ('(', ','), ('e.g.', 'N'), (""doesn't"", 'V'), ('return', 'V'), ('anything', 'N'), (')', ','), ('.', ','), ('What', 'O'), ('did', 'V'), ('you', 'O'), ('expect', 'V'), ('to', 'P'), ('get', 'V'), ('?', ',')]","[('You', 'O'), ('forgot', 'V'), ('to', 'P'), ('include', 'V'), ('the', 'D'), ('javascript', 'N'), ('code', 'N'), ('.', ','), ('From', 'P'), ('the', 'D'), ('example', 'N'), (':', ','), ('Are', 'V'), ('you', 'O'), ('sure', 'R'), ('you', 'O'), ('call', 'V'), ('service.updateRowValueForField', '^'), ('(', ','), ('key', 'A'), (',', ','), ('value', 'N'), (',', ','), ('fieldname', 'N'), (')', ','), ('and', '&'), ('not', 'R'), ('something', 'R'), ('different', 'A'), ('?', ','), ('Further', 'R'), (',', ','), ('your', 'D'), ('method', 'N'), ('returns', 'V'), ('a', 'D'), ('void', '^'), ('(', ','), ('e.g.', 'N'), (""doesn't"", 'V'), ('return', 'V'), ('anything', 'N'), (')', ','), ('.', ','), ('What', 'O'), ('did', 'V'), ('you', 'O'), ('expect', 'V'), ('to', 'P'), ('get', 'V'), ('?', ',')]"
93,New version fixes my problems . Google JSON plugin,"[('New', 'A'), ('version', 'N'), ('fixes', 'V'), ('my', 'D'), ('problems', 'N'), ('.', ','), ('Google', '^'), ('JSON', '^'), ('plugin', 'V')]","[('New', 'A'), ('version', 'N'), ('fixes', 'V'), ('my', 'D'), ('problems', 'N'), ('.', ','), ('Google', '^'), ('JSON', '^'), ('plugin', 'V')]"
94,I know its old post ... but i am not able to get this work either ... i am on 2.2 . 3 and in javascript when i say service.doSomething ... it says doSomething not defined ... sounds logical as there is no method saying doSomething in Json service . That example is not correct .. something is missing there ...,"[('I', 'O'), ('know', 'V'), ('its', 'L'), ('old', 'A'), ('post', 'N'), ('...', ','), ('but', '&'), ('i', 'O'), ('am', 'V'), ('not', 'R'), ('able', 'A'), ('to', 'P'), ('get', 'V'), ('this', 'D'), ('work', 'N'), ('either', '&'), ('...', ','), ('i', 'O'), ('am', 'V'), ('on', 'P'), ('2.2', '$'), ('.', ','), ('3', '$'), ('and', '&'), ('in', 'P'), ('javascript', '^'), ('when', 'R'), ('i', 'O'), ('say', 'V'), ('service.doSomething', '^'), ('...', ','), ('it', 'O'), ('says', 'V'), ('doSomething', '^'), ('not', 'R'), ('defined', 'A'), ('...', ','), ('sounds', 'V'), ('logical', 'A'), ('as', 'P'), ('there', 'X'), ('is', 'V'), ('no', 'D'), ('method', 'N'), ('saying', 'V'), ('doSomething', 'G'), ('in', 'P'), ('Json', '^'), ('service', 'N'), ('.', ','), ('That', 'D'), ('example', 'N'), ('is', 'V'), ('not', 'R'), ('correct', 'A'), ('..', ','), ('something', 'N'), ('is', 'V'), ('missing', 'V'), ('there', 'R'), ('...', ',')]","[('I', 'O'), ('know', 'V'), ('its', 'L'), ('old', 'A'), ('post', 'N'), ('...', ','), ('but', '&'), ('i', 'O'), ('am', 'V'), ('not', 'R'), ('able', 'A'), ('to', 'P'), ('get', 'V'), ('this', 'D'), ('work', 'N'), ('either', '&'), ('...', ','), ('i', 'O'), ('am', 'V'), ('on', 'P'), ('2.2', '$'), ('.', ','), ('3', '$'), ('and', '&'), ('in', 'P'), ('javascript', '^'), ('when', 'R'), ('i', 'O'), ('say', 'V'), ('service.doSomething', '^'), ('...', ','), ('it', 'O'), ('says', 'V'), ('doSomething', '^'), ('not', 'R'), ('defined', 'A'), ('...', ','), ('sounds', 'V'), ('logical', 'A'), ('as', 'P'), ('there', 'X'), ('is', 'V'), ('no', 'D'), ('method', 'N'), ('saying', 'V'), ('doSomething', 'G'), ('in', 'P'), ('Json', '^'), ('service', 'N'), ('.', ','), ('That', 'D'), ('example', 'N'), ('is', 'V'), ('not', 'R'), ('correct', 'A'), ('..', ','), ('something', 'N'), ('is', 'V'), ('missing', 'V'), ('there', 'R'), ('...', ',')]"
95,How can I set globals to JSLint to ignore for a whole set of files ?,"[('How', 'R'), ('can', 'V'), ('I', 'O'), ('set', 'V'), ('globals', 'N'), ('to', 'P'), ('JSLint', '^'), ('to', 'P'), ('ignore', 'V'), ('for', 'P'), ('a', 'D'), ('whole', 'A'), ('set', 'N'), ('of', 'P'), ('files', 'N'), ('?', ',')]","[('How', 'R'), ('can', 'V'), ('I', 'O'), ('set', 'V'), ('globals', 'N'), ('to', 'P'), ('JSLint', '^'), ('to', 'P'), ('ignore', 'V'), ('for', 'P'), ('a', 'D'), ('whole', 'A'), ('set', 'N'), ('of', 'P'), ('files', 'N'), ('?', ',')]"
